,Name of movie,Year of relase,Description,Director,Genre,Star,Watchtime,Votes,Gross collection,Movie Rating,Metascore
345,Lion,2016,"A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family.",PG-13,Biography Drama,['118 min'],118,"224,408",$51.74M,8.0,69
346,The Martian,2015,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive.",PG-13,Adventure Drama Sci-Fi,['144 min'],144,"794,132",$228.43M,8.0,80
347,Zootopia,2016,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",PG,Animation Adventure Comedy,['108 min'],108,"457,961",$341.27M,8.0,78
348,Baahubali: The Beginning,2015,"In ancient India, an adventurous and daring man becomes involved in a decades-old feud between two warring peoples.",Not Rated,Action Drama,['159 min'],159,"108,442",$6.74M,8.0,^^^^^^
349,The Tale of The Princess Kaguya,2013,"Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthralls all who encounter her, but ultimately she must confront her fate, the punishment for her crime.",PG,Animation Adventure Drama,['137 min'],137,"42,326",$1.51M,8.0,89
350,Wonder,I 2017,"Based on the New York Times bestseller, this movie tells the incredibly inspiring and heartwarming story of August Pullman, a boy with facial differences who enters the fifth grade, attending a mainstream elementary school for the first time.",PG,Drama Family,['113 min'],113,"152,729",$132.42M,8.0,66
351,Special 26,2013,A gang of con-men rob prominent rich businessmen and politicians by posing as C.B.I and income tax officers.,Not Rated,Crime Drama Thriller,['144 min'],144,"53,697",$1.08M,8.0,^^^^^^
352,Short Term 12,2013,A 20-something supervising staff member of a residential treatment facility navigates the troubled waters of that world alongside her co-worker and longtime boyfriend.,R,Drama,['96 min'],96,"84,950",$1.01M,8.0,82
353,The Raid 2,2014,"Only a short time after the first raid, Rama goes undercover with the thugs of Jakarta and plans to bring down the syndicate and uncover the corruption within his police force.",R,Action Crime Thriller,['150 min'],150,"118,468",$2.63M,8.0,71
354,The Imitation Game,2014,"During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians.",PG-13,Biography Drama Thriller,['114 min'],114,"716,676",$91.13M,8.0,71
355,Guardians of the Galaxy,2014,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,PG-13,Action Adventure Comedy,['121 min'],121,"1,092,862",$333.18M,8.0,76
356,Blade Runner 2049,2017,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.",R,Action Drama Mystery,['164 min'],164,"496,941",$92.05M,8.0,81
357,Her,2013,"In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.",R,Drama Romance Sci-Fi,['126 min'],126,"566,957",$25.57M,8.0,91
358,The Revenant,2015,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,R,Action Adventure Drama,['156 min'],156,"740,786",$183.64M,8.0,76
359,Elite Squad 2: The Enemy Within,2010,"After a prison riot, former-Captain Nascimento, now a high ranking security officer in Rio de Janeiro, is swept into a bloody political dispute that involves government officials and paramilitary groups.",Not Rated,Action Crime Drama,['115 min'],115,"81,025",$0.10M,8.0,71
360,The King's Speech,2010,"The story of King George VI, his impromptu ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer.",R,Biography Drama History,['118 min'],118,"656,131",$138.80M,8.0,88
361,The Help,2011,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.",PG-13,Drama,['146 min'],146,"439,342",$169.71M,8.0,62
362,Deadpool,2016,"A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.",R,Action Adventure Comedy,['108 min'],108,"947,218",$363.07M,8.0,65
363,Darbareye Elly,2009,The mysterious disappearance of a kindergarten teacher during a picnic in the north of Iran is followed by a series of misadventures for her fellow travelers.,TV-PG,Drama Mystery,['119 min'],119,"49,962",$0.11M,8.0,87
364,Dev.D,2009,"After breaking up with his childhood sweetheart, a young man finds solace in drugs. Meanwhile, a teenage girl is caught in the world of prostitution. Will they be destroyed, or will they find redemption?",Not Rated,Comedy Drama Romance,['144 min'],144,"29,789",$0.01M,8.0,^^^^^^
365,Ip Man,2008,"During the Japanese invasion of China, a wealthy martial artist is forced to leave his home when his city is occupied. With little means of providing for themselves, Ip Man and the remaining members of the city must find a way to survive.",R,Action Biography Drama,['106 min'],106,"217,015",*****,8.0,59
366,My Name Is Khan,2010,An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.,PG-13,Drama,['165 min'],165,"102,639",$4.02M,8.0,50
367,Nefes: Vatan Sagolsun,2009,Story of 40-man Turkish task force who must defend a relay station.,128 min,Action Drama Thriller,"['Action', 'Drama', 'Thriller']",128,"32,772",*****,8.0,^^^^^^
368,Slumdog Millionaire,2008,"A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?"".",R,Drama Romance,['120 min'],120,"817,571",$141.32M,8.0,84
369,Black Swan,2010,"A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky's ""Swan Lake"".",R,Drama Thriller,['108 min'],108,"723,493",$106.95M,8.0,79
370,Elite Squad,2007,"In 1997 Rio de Janeiro, Captain Nascimento has to find a substitute for his position while trying to take down drug dealers and criminals before the Pope visits.",R,Action Crime Drama,['115 min'],115,"100,642",$0.01M,8.0,33
371,The Avengers,2012,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,PG-13,Action Adventure Sci-Fi,['143 min'],143,"1,307,148",$623.28M,8.0,69
372,Persepolis,2007,A precocious and outspoken Iranian girl grows up during the Islamic Revolution.,PG-13,Animation Biography Drama,['96 min'],96,"91,655",$4.45M,8.0,90
373,Dallas Buyers Club,2013,"In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease.",R,Biography Drama,['117 min'],117,"460,779",$27.30M,8.0,79
374,The Pursuit of Happyness,2006,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.,PG-13,Biography Drama,['117 min'],117,"472,370",$163.57M,8.0,64
375,Blood Diamond,2006,"A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond.",R,Adventure Drama Thriller,['143 min'],143,"518,690",$57.37M,8.0,64
376,The Bourne Ultimatum,2007,Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.,PG-13,Action Adventure Mystery,['115 min'],115,"616,207",$227.47M,8.0,85
377,3-Iron,2004,A transient young man breaks into empty homes to partake of the vacationing residents' lives for a few days.,R,Crime Drama Romance,['88 min'],88,"52,940",$0.24M,8.0,72
378,Sin City,2005,"An exploration of the dark and miserable Basin City and three of its residents, all of whom are caught up in violent corruption.",R,Crime Thriller,['124 min'],124,"749,521",$74.10M,8.0,74
379,The Diving Bell and the Butterfly,2007,The true story of Elle editor Jean-Dominique Bauby who suffers a stroke and has to live with an almost totally paralyzed body; only his left eye isn't paralyzed.,PG-13,Biography Drama,['112 min'],112,"105,603",$5.99M,8.0,92
380,Tae Guk Gi: The Brotherhood of War,2004,"When two brothers are forced to fight in the Korean War, the elder decides to take the riskiest missions if it will help shield the younger from battle.",R,Action Drama War,['140 min'],140,"38,782",$1.11M,8.0,64
381,G.O.R.A.,2004,A slick young Turk kidnapped by extraterrestrials shows his great « humanitarian spirit » by outwitting the evil commander-in-chief of the planet of G.O.R.A.,127 min,Adventure Comedy Sci-Fi,"['Adventure', 'Comedy', 'Sci-Fi']",127,"59,640",*****,8.0,^^^^^^
382,Ratatouille,2007,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous restaurant.,G,Animation Adventure Comedy,['111 min'],111,"669,152",$206.45M,8.0,96
383,Casino Royale,2006,"After earning 00 status and a licence to kill, secret agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro.",PG-13,Action Adventure Thriller,['144 min'],144,"600,450",$167.45M,8.0,80
384,Kill Bill: Vol. 2,2004,"The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.",R,Action Crime Thriller,['137 min'],137,"713,005",$66.21M,8.0,83
385,The Return,2003,"In the Russian wilderness, two brothers face a range of new, conflicting emotions when their father - a man they know only through a single photograph - resurfaces.",Not Rated,Drama,['110 min'],110,"44,176",$0.50M,8.0,82
386,"Spring, Summer, Fall, Winter... and Spring",2003,A boy is raised by a Buddhist monk in an isolated floating temple where the years pass like the seasons.,R,Drama Romance,['103 min'],103,"80,193",$2.38M,8.0,85
387,The Sea Inside,I 2004,"The factual story of Spaniard Ramon Sampedro, who fought a 28 year campaign in favour of euthanasia and his own right to die.",PG-13,Biography Drama,['126 min'],126,"79,684",$2.09M,8.0,74
388,Cinderella Man,2005,"The story of James J. Braddock, a supposedly washed-up boxer who came back to challenge for the heavyweight championship of the world.",PG-13,Biography Drama History,['144 min'],144,"181,210",$61.65M,8.0,69
389,Infernal Affairs,2002,"A story between a mole in the police department and an undercover cop. Their objectives are the same: to find out who is the mole, and who is the cop.",R,Action Crime Drama,['101 min'],101,"121,179",$0.17M,8.0,75
390,Pirates of the Caribbean: The Curse of the Black Pearl,2003,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",PG-13,Action Adventure Fantasy,['143 min'],143,"1,044,525",$305.41M,8.0,63
391,Big Fish,2003,A frustrated son tries to determine the fact from fiction in his dying father's life.,PG-13,Adventure Drama Fantasy,['125 min'],125,"427,094",$66.26M,8.0,58
392,The Incredibles,2004,"A family of undercover superheroes, while trying to live the quiet suburban life, are forced into action to save the world.",PG,Animation Action Adventure,['115 min'],115,"680,757",$261.44M,8.0,90
393,My Sassy Girl,2001,"A young man sees a drunk, cute woman standing too close to the tracks at a metro station in Seoul and pulls her back. She ends up getting him into trouble repeatedly after that, starting on the train.",Not Rated,Comedy Drama Romance,['137 min'],137,"46,773",*****,8.0,^^^^^^
394,Dogville,2003,"A woman on the run from the mob is reluctantly accepted in a small Colorado community in exchange for labor, but when a search visits the town she finds out that their support has a price.",R,Crime Drama,['178 min'],178,"143,441",$1.53M,8.0,60
395,Vizontele,2001,Lives of residents in a small Anatolian village change when television is introduced to them,110 min,Comedy Drama,"['Comedy', 'Drama']",110,"35,190",*****,8.0,^^^^^^
396,Donnie Darko,2001,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes.",R,Drama Mystery Sci-Fi,['113 min'],113,"763,297",$1.48M,8.0,88
397,Magnolia,1999,"An epic mosaic of interrelated characters in search of love, forgiveness, and meaning in the San Fernando Valley.",R,Drama,['188 min'],188,"299,471",$22.46M,8.0,77
